22	caring	i loved taking care of my sisters pet last week
22	caring	I offered to take care of my friend's dog while she was on vacation 
22	caring	I wanted to how my brother I cared about him. So I bought him a new jacket
22	caring	My friend lost her job. I've been buying her groceries trying to help out.
22	caring	I keep all of my stuff animals.
25	anticipating	I just cleaned my a/c condensror, and i'm really hopeful I'm gonna save a lot of money!
25	anticipating	It was three days before my 21st birthday.
25	anticipating	I am so ready for Thanksgiving.
25	anticipating	I have a big test coming up. If I don't pass, it is going to really affect me negatively.
25	anticipating	My husband gets back from a month long business trip on Friday! I'm really looking forward to it!
4	terrified	There's a serial killer in my neighborhood. Three people have been found murdered already.
4	terrified	I opened the bathroom door and there was a snake laying on the floor. I shut the bathroom door and ran to find someone to kill it!
4	terrified	I heard a loud bang late in the night recently and thought someone was trying to break in to my house.
4	terrified	When a tornado touched down a few hundred feet from my property, I was pretty scared
4	terrified	I was in Kiev last year walking back to my hostel. Two drunk men started following me.
17	surprised	My girlfriend secretly booked  a cruise for us next week. She told me today.
17	surprised	My birthday was last week. My parents and best friend organized a whole trip to Miami for us without telling me a thing along the way!
17	surprised	I recently found out that my wife is pregnant.  I was so shocked by the news.
17	surprised	I was at the grocery store and there was a HUGE sale on oreos! They were $1.5!
17	surprised	my car made it all the way to Texas even though its a 1990
